,CompanyName,Location,Experience,Job Title,Education,Salary,Job Posted,Key Skill,Preferred Skills,Application URL
22,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Sr. Vice President - Analytics - Data Science Team - Insurance -  IIT,",UG :B.Tech/B.E. in Computers,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['sr', 'Data Management', 'insurance', 'management', 'sql', 'python', 'Data Science', 'Artificial Intelligence']",https://www.naukri.com/job-listings-sr-vice-president-analytics-data-science-team-insurance-iit-huquo-consulting-gurgaon-gurugram-8-to-13-years-280323905869
23,HCLTech,"Chennai, Bangalore/Bengaluru",5 - 8 years,HCL Hiring DATA Science Engineer 5-8 yrs @Chennai Location,",UG :B.Tech/B.E. in Any Specialization",Not Disclosed,5 days ago,data science,"['etl', 'data', 'sql', 'keras', 'python', 'deep learning', 'hiring', 'data science']",https://www.naukri.com/job-listings-hcl-hiring-data-science-engineer-5-8-yrs-chennai-location-hcltech-chennai-bangalore-bengaluru-5-to-8-years-160323006812
24,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,4 - 6 years,Analyst - Data Science - Python/Machine Learning/Analytics,",UG :B.Tech/B.E. in Any Specialization,PG :MCA in Any Specialization, M.Tech in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,5 days ago,Machine Learning,"['regression', 'science', 'data analytics', 'sql', 'forest', 'linear regression', 'data science', 'Machine Learning']",https://www.naukri.com/job-listings-analyst-data-science-python-machine-learning-analytics-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-6-years-240323909861
25,Huquo Consulting,"Gurgaon/Gurugram, Delhi / NCR",8 - 13 years,Associate Vice President - Data Science Team,",UG :Any Graduate,PG :Any Postgraduate,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['analytics', 'bfsi', 'science', 'data analytics', 'data', 'team', 'consulting', 'Data Science']",https://www.naukri.com/job-listings-associate-vice-president-data-science-team-huquo-consulting-gurgaon-gurugram-delhi-ncr-8-to-13-years-310123912075
26,Huquo Consulting,Gurgaon/Gurugram,7 - 12 years,Associate Vice President - Analytics/Data Science - IIM/IIT/XLRI/FMS,",UG :B.Tech/B.E. in Any Specialization,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['statistical techniques', 'engineering', 'database management', 'fm', 'data', 'sql', 'Data Science', 'hive']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-iim-iit-xlri-fms-huquo-consulting-gurgaon-gurugram-7-to-12-years-310123911092
27,Huquo Consulting,"Gurgaon/Gurugram, Delhi / NCR",8 - 13 years,Associate Vice President - Analytics - Data Science,",UG :B.Sc in Maths, Computers, BCA in Computers, B.A in Economics, Maths, B.Tech/B.E. in Computers,PG :M.Tech in Computers, M.A in Maths, Economics, MS/M.Sc(Science) in Maths, Computers, MCA in Computers,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['hadoop', 'analytics', 'etl', 'engineering', 'science', 'project', 'data', 'Data Science']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-huquo-consulting-gurgaon-gurugram-delhi-ncr-8-to-13-years-310123910873
28,Huquo Consulting,Gurgaon/Gurugram,7 - 12 years,Associate Vice President - Analytics / Data Science,",UG :B.Tech/B.E. in Computers,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['data analysis', 'etl', 'spark', 'data analytics', 'management', 'intelligence', 'Data Science', 'base']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-huquo-consulting-gurgaon-gurugram-7-to-12-years-310123910702
29,Huquo Consulting,Gurgaon/Gurugram,7 - 12 years,Associate Vice President- Analytics/Data Science- IIM/IIT/XLRI/FMS/NIT,",UG :B.Tech/B.E. in Computers,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['statistics', 'Analytics', 'machine learning', 'science', 'data', 'python', 'Data Science', 'fms']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-iim-iit-xlri-fms-nit-huquo-consulting-gurgaon-gurugram-7-to-12-years-310123909887
30,Huquo Consulting,Gurgaon/Gurugram,8 - 10 years,Associate Vice President - Analytics/Data Science - IIM/IIT/XLRI/FMS,",UG :BCA in Computers, B.Tech/B.E. in Computers, B.Sc in Maths, Computers, B.A in Economics, Maths,PG :MCM in Computers and Management, MS/M.Sc(Science) in Maths, Computers, M.A in Maths, Economics, M.Tech in Computers, MCA in Computers,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,data base management,"['database management', 'fm', 'dbms', 'base', 'data', 'sql', 'data base management', 'hive']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-iim-iit-xlri-fms-huquo-consulting-gurgaon-gurugram-8-to-10-years-280323908175
31,Huquo Consulting,Gurgaon/Gurugram,7 - 12 years,Associate Vice President- Analytics/Data Science- IIM/IIT/XLRI/FMS/NIT,",UG :B.Tech/B.E. in Computers,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['statistics', 'Analytics', 'machine learning', 'engineering', 'artificial intelligence', 'fm', 'data', 'Data Science']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-iim-iit-xlri-fms-nit-huquo-consulting-gurgaon-gurugram-7-to-12-years-280323907939
32,Huquo Consulting,Gurgaon/Gurugram,7 - 12 years,Associate Vice President - Analytics/Data Science - IIM/IIT/XLRI/FMS,",UG :B.Sc in Maths, Computers, BCA in Computers, B.A in Economics, Maths, B.Tech/B.E. in Computers,PG :M.Tech in Computers, MCA in Computers, M.A in Maths, Economics, MCM in Computers and Management, MS/M.Sc(Science) in Maths, Computers,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['spark', 'artificial intelligence', 'fm', 'data analytics', 'sql', 'python', 'intelligence', 'Data Science']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-iim-iit-xlri-fms-huquo-consulting-gurgaon-gurugram-7-to-12-years-280323907498
33,Huquo Consulting,Gurgaon/Gurugram,7 - 12 years,Associate Vice President - Analytics / Data Science,",UG :B.Tech/B.E. in Computers,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['hadoop', 'etl', 'conflict', 'database management', 'data analytics', 'management', 'Data Science', 'data management']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-huquo-consulting-gurgaon-gurugram-7-to-12-years-280323907401
34,Huquo Consulting,"Gurgaon/Gurugram, Delhi / NCR",8 - 13 years,Associate Vice President - Analytics - Data Science,",UG :B.Tech/B.E. in Computers, B.Sc in Maths, Computers, BCA in Computers, B.A in Economics, Maths,PG :MS/M.Sc(Science) in Maths, Computers, MCA in Computers, M.Tech in Computers, M.A in Maths, Economics,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['hadoop', 'analytics', 'etl', 'engineering', 'science', 'project', 'data', 'Data Science']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-huquo-consulting-gurgaon-gurugram-delhi-ncr-8-to-13-years-280323907239
35,Huquo Consulting,Gurgaon/Gurugram,7 - 12 years,Associate Vice President - Analytics/Data Science - IIM/IIT/XLRI/FMS,",UG :B.Tech/B.E. in Any Specialization,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['statistics', 'engineering', 'dbms', 'management', 'sql', 'Data Science', 'fms', 'base']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-iim-iit-xlri-fms-huquo-consulting-gurgaon-gurugram-7-to-12-years-280323907140
36,Hyrezy Talent Solutions,New Delhi,7 - 12 years,Head - Data Science - Fintech,",UG :Any Graduate,PG :Any Postgraduate,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['Data Management', 'fintech', 'heading', 'data visualization', 'data', 'sql', 'Data Scientist', 'Data Science']",https://www.naukri.com/job-listings-head-data-science-fintech-hyrezy-talent-solutions-new-delhi-7-to-12-years-280323906383
37,Huquo Consulting,"Gurgaon/Gurugram, Delhi / NCR",8 - 13 years,Associate Vice President - Data Science Team,",UG :Any Graduate,PG :Any Postgraduate,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['analytics', 'bfsi', 'science', 'data analytics', 'data', 'team', 'consulting', 'Data Science']",https://www.naukri.com/job-listings-associate-vice-president-data-science-team-huquo-consulting-gurgaon-gurugram-delhi-ncr-8-to-13-years-280323905719
38,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,7 - 12 years,Associate Vice President - Analytics/Data Science,",UG :B.Tech/B.E. in Any Specialization,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['spark', 'machine learning', 'engineering', 'data analytics', 'data', 'sql', 'python', 'Data Science']",https://www.naukri.com/job-listings-associate-vice-president-analytics-data-science-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-130123908896
39,Huquo Consulting,"Gurgaon/Gurugram, Delhi / NCR, Delhi NCR/Gurgaon/Gurugram",8 - 13 years,AVP - Data Science Team - Insurance,",UG :Any Graduate,PG :Any Postgraduate",Not Disclosed,1 day ago,Data Science,"['analytics', 'insurance', 'science', 'avp', 'data analytics', 'data', 'team', 'Data Science']",https://www.naukri.com/job-listings-avp-data-science-team-insurance-huquo-consulting-gurgaon-gurugram-delhi-ncr-delhi-ncr-gurgaon-gurugram-8-to-13-years-310123911808
